,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,blue,easy,5.6901257038116455
1,0101,red,blue,easy,4.875059366226196
2,0126,red,blue,easy,4.900048732757568
3,0143,red,blue,hard,4.918910264968872
4,0144,red,blue,hard,4.936845302581787
5,0181,red,blue,hard,4.938798904418945
6,0194,blue,blue,easy,4.9930784702301025
7,0214,red,blue,veryhard,4.951031446456909
8,0244,blue,blue,easy,4.958332300186157
9,0294,red,blue,veryhard,5.036341905593872
10,0307,red(maybe),blue,easy,4.979201555252075
11,0329,red,blue,impossible,5.122813701629639
12,0405,red,blue,veryhard,5.1045074462890625
13,0455,red,blue,veryhard,5.275122404098511
14,0473,red,blue,hard,5.156336307525635
15,0482,red,blue,impossible,5.267796516418457
16,0546,blue,blue,easy,5.268201112747192
17,0569,red,blue,veryhard,5.409266233444214
18,0580,blue,blue,easy,5.302823543548584
19,0583,red,blue,hard,5.232221364974976
20,0593,red,blue,hard,5.264581203460693
21,0688,red,blue,impossible,5.340231657028198
22,0709,red,blue,veryhard,5.2879557609558105
23,0722,blue,blue,impossible,5.291225910186768
24,0731,red,blue,easy,5.350171089172363
25,0774,red,blue,easy,5.320761203765869
26,0782,red,blue,hard,5.087160587310791
27,0784,blue,blue,impossible,5.175532102584839
28,0822,red,blue,easy,5.223126173019409
29,0925,red,blue,hard,5.37736701965332
30,1094,red,blue,hard,5.335756540298462
31,1117,red,blue,hard,5.277928113937378
32,1117,red,blue,hard,5.317131280899048
33,1145,red,blue,hard,5.3474202156066895
34,1152,blue,blue,easy,5.305598974227905
35,1154,red,blue,easy,5.2880518436431885
36,1178,red,blue,easy,5.351055860519409
37,1184,red,blue,veryhard,5.363677978515625
38,1184,red,blue,veryhard,5.336609840393066
39,1189,red,blue,impossible,5.144763231277466
40,1211,red,blue,easy,5.204516649246216
41,1212,red,blue,easy,5.370229005813599
42,1248,red,blue,impossible,5.297936677932739
43,1255,blue,blue,hard,5.311757564544678
44,1302,red,blue,hard,5.410118341445923
45,1338,red,blue,hard,5.327768325805664
46,1383,blue,blue,easy,5.300447940826416
47,1428,red,blue,easy,5.353249549865723
48,1446,red,blue,impossible,5.440739393234253
49,1452,red,blue,easy,5.297203302383423
50,1462,blue,blue,easy,5.288625478744507
51,1489,red,blue,impossible,5.215328693389893
52,1505,red,blue,impossible,5.074253082275391
53,1540,red,blue,hard,5.307046890258789
54,1550,red,blue,hard,5.30495548248291
55,1551,blue,blue,easy,5.323033809661865
56,1595,red,blue,easy,5.311095714569092
57,1619,blue,blue,hard,5.314700603485107
58,1625,red,blue,hard,5.325245141983032
59,1627,red,blue,impossible,5.290586948394775
60,1644,red,blue,hard,5.292606353759766
61,1656,blue,blue,easy,5.349576950073242
62,1661,red,blue,hard,5.309872388839722
63,1759,blue,blue,easy,5.247635841369629
64,1781,red,blue,hard,5.189933776855469
65,1806,red,blue,impossible,5.350668430328369
66,1844,red,blue,veryhard,5.271479606628418
67,1867,red,blue,easy,5.4457480907440186
68,1941,red,blue,hard,5.331933498382568
69,1943,blue,blue,easy,5.326329231262207
70,1949,red,blue,hard,5.322049617767334
71,2021,red,blue,veryhard,5.348514080047607
72,2060,red,blue,hard,5.286527156829834
73,2073,blue,blue,easy,5.359606742858887
74,2086,red,blue,hard,5.306264162063599
75,2095,red,blue,hard,5.457273006439209
76,2123,blue,blue,easy,5.124078035354614
77,2124,red,blue,veryhard,5.291208028793335
78,2143,red,blue,easy,5.360758066177368
79,2158,red,blue,veryhard,5.334182262420654
80,2180,red,blue,impossible,5.3241965770721436
81,2211,red,blue,hard,5.3204100131988525
82,2294,red,blue,easy,5.308619499206543
83,2328,red,blue,veryhard,5.319067478179932
84,2403,red,blue,hard,5.318188428878784
85,2459,red,blue,easy,5.365787506103516
86,2491,red,blue,easy,5.288685083389282
87,2510,blue,blue,hard,5.273261547088623
88,2519,red,blue,hard,5.290027141571045
89,2544,red,blue,hard,5.317626953125
90,2555,red,blue,veryhard,5.314886093139648
91,2605,red,blue,hard,5.301608085632324
92,2607,red,blue,hard,5.3862316608428955
93,2620,red,blue,veryhard,5.295883893966675
94,2646,red,blue,veryhard,5.330199718475342
95,2696,red,blue,impossible,5.34025764465332
96,2711,red,blue,easy,5.308492422103882
97,2712,red,blue,easy,5.302830696105957
