,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,red,easy,3.052035331726074
1,0101,red,red,easy,1.932481288909912
2,0126,red,red,easy,1.9330956935882568
3,0143,red,red,hard,1.982288122177124
4,0144,red,red,hard,1.9321262836456299
5,0181,red,red,hard,1.9243371486663818
6,0194,blue,red,easy,1.9311511516571045
7,0214,red,red,veryhard,1.9333863258361816
8,0244,blue,red,easy,1.980832576751709
9,0294,red,red,veryhard,1.9385862350463867
10,0307,red(maybe),red,easy,1.9397943019866943
11,0329,red,red,impossible,1.9419422149658203
12,0405,red,red,veryhard,1.9479131698608398
13,0455,red,red,veryhard,1.9435956478118896
14,0473,red,red,hard,1.9424669742584229
15,0482,red,red,impossible,1.9463300704956055
16,0546,blue,red,easy,1.9467921257019043
17,0569,red,red,veryhard,1.954716682434082
18,0580,blue,red,easy,2.0016965866088867
19,0583,red,red,hard,1.9563169479370117
20,0593,red,red,hard,1.9565002918243408
21,0688,red,red,impossible,1.9567911624908447
22,0709,red,red,veryhard,1.9743554592132568
23,0722,blue,red,impossible,1.9644091129302979
24,0731,red,red,easy,1.9630439281463623
25,0774,red,red,easy,1.9699265956878662
26,0782,red,red,hard,1.967031478881836
27,0784,blue,red,impossible,1.9704182147979736
28,0822,red,red,easy,2.019409656524658
29,0925,red,red,hard,1.971390724182129
30,1094,red,red,hard,1.9708669185638428
31,1117,red,red,hard,1.9773261547088623
32,1117,red,red,hard,1.9743263721466064
33,1145,red,red,hard,1.9721400737762451
34,1152,blue,red,easy,1.987173318862915
35,1154,red,red,easy,1.9718549251556396
36,1178,red,red,easy,1.9877839088439941
37,1184,red,red,veryhard,1.9779703617095947
38,1184,red,red,veryhard,2.100849151611328
39,1189,red,red,impossible,1.9741532802581787
40,1211,red,red,easy,1.9790422916412354
41,1212,red,red,easy,1.9831523895263672
42,1248,red,red,impossible,1.9785706996917725
43,1255,blue,red,hard,1.99155592918396
44,1302,red,red,hard,1.9747986793518066
45,1338,red,red,hard,1.9775516986846924
46,1383,blue,red,easy,1.9811193943023682
47,1428,red,red,easy,1.9738681316375732
48,1446,red,red,impossible,2.114020824432373
49,1452,red,red,easy,1.9838449954986572
50,1462,blue,red,easy,1.9832088947296143
51,1489,red,red,impossible,1.9851195812225342
52,1505,red,red,impossible,1.992455244064331
53,1540,red,red,hard,1.9903686046600342
54,1550,red,red,hard,1.9806272983551025
55,1551,blue,red,easy,1.9868483543395996
56,1595,red,red,easy,1.9806759357452393
57,1619,blue,red,hard,1.9860854148864746
58,1625,red,red,hard,2.0802395343780518
59,1627,red,red,impossible,1.9964134693145752
60,1644,red,red,hard,1.9945812225341797
61,1656,blue,red,easy,1.9890153408050537
62,1661,red,red,hard,1.9930570125579834
63,1759,blue,red,easy,2.0150837898254395
64,1781,red,red,hard,1.991258144378662
65,1806,red,red,impossible,1.986527919769287
66,1844,red,red,veryhard,1.9891955852508545
67,1867,red,red,easy,1.9837782382965088
68,1941,red,red,hard,2.0705478191375732
69,1943,blue,red,easy,1.9861910343170166
70,1949,red,red,hard,2.01515531539917
71,2021,red,red,veryhard,1.994741439819336
72,2060,red,red,hard,1.9886314868927002
73,2073,blue,red,easy,1.991563081741333
74,2086,red,red,hard,1.9861679077148438
75,2095,red,red,hard,1.991607904434204
76,2123,blue,red,easy,1.98915433883667
77,2124,red,red,veryhard,1.9844915866851807
78,2143,red,red,easy,2.076216697692871
79,2158,red,red,veryhard,1.9825961589813232
80,2180,red,red,impossible,1.9925475120544434
81,2211,red,red,hard,1.9876017570495605
82,2294,red,red,easy,1.9948770999908447
83,2328,red,red,veryhard,1.9930064678192139
84,2403,red,red,hard,1.9904415607452393
85,2459,red,red,easy,2.042893171310425
86,2491,red,red,easy,1.9855592250823975
87,2510,blue,red,hard,1.9995996952056885
88,2519,red,red,hard,2.0709099769592285
89,2544,red,red,hard,1.9935657978057861
90,2555,red,red,veryhard,1.983147144317627
91,2605,red,red,hard,1.99446702003479
92,2607,red,red,hard,1.9955646991729736
93,2620,red,red,veryhard,2.0154964923858643
94,2646,red,red,veryhard,1.9935894012451172
95,2696,red,red,impossible,1.9901111125946045
96,2711,red,red,easy,2.0304489135742188
97,2712,red,red,easy,1.989368200302124
