,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,blue,easy,6.115731716156006
1,0101,red,blue,easy,4.962743759155273
2,0126,red,blue,easy,4.986391067504883
3,0143,red,blue,hard,5.019693613052368
4,0144,red,blue,hard,4.997237205505371
5,0181,red,blue,hard,5.010098934173584
6,0194,blue,blue,easy,5.054896116256714
7,0214,red,blue,veryhard,5.008039474487305
8,0244,blue,blue,easy,5.024394273757935
9,0294,red,blue,veryhard,5.0620551109313965
10,0307,red(maybe),blue,easy,5.046171426773071
11,0329,red,blue,impossible,5.035367965698242
12,0405,red,blue,veryhard,5.107679605484009
13,0455,red,blue,veryhard,5.037242650985718
14,0473,red,blue,hard,5.065279483795166
15,0482,red,blue,impossible,5.096478462219238
16,0546,blue,blue,easy,5.063718557357788
17,0569,red,blue,veryhard,5.066076278686523
18,0580,blue,blue,easy,5.072592496871948
19,0583,red,blue,hard,5.051813840866089
20,0593,red,blue,hard,5.062272071838379
21,0688,red,blue,impossible,5.063662052154541
22,0709,red,blue,veryhard,5.057727813720703
23,0722,blue,blue,impossible,5.079521179199219
24,0731,red,blue,easy,5.070772886276245
25,0774,red,blue,easy,5.147180080413818
26,0782,red,blue,hard,5.110339403152466
27,0784,blue,blue,impossible,5.072272300720215
28,0822,red,blue,easy,5.075037479400635
29,0925,red,blue,hard,5.142115354537964
30,1094,red,blue,hard,5.06871771812439
31,1117,red,blue,hard,5.080187082290649
32,1117,red,blue,hard,5.072108507156372
33,1145,red,blue,hard,5.1612255573272705
34,1152,blue,blue,easy,5.1115028858184814
35,1154,red,blue,easy,5.093158960342407
36,1178,red,blue,easy,5.083078622817993
37,1184,red,blue,veryhard,5.145998001098633
38,1184,red,blue,veryhard,5.096292495727539
39,1189,red,blue,impossible,5.095851898193359
40,1211,red,blue,easy,5.064669609069824
41,1212,red,blue,easy,5.195842981338501
42,1248,red,blue,impossible,5.0756261348724365
43,1255,blue,blue,hard,5.091776371002197
44,1302,red,blue,hard,5.10215163230896
45,1338,red,blue,hard,5.1687610149383545
46,1383,blue,blue,easy,5.0865209102630615
47,1428,red,blue,easy,5.107607364654541
48,1446,red,blue,impossible,5.081939220428467
49,1452,red,blue,easy,5.1574177742004395
50,1462,blue,blue,easy,5.119365453720093
51,1489,red,blue,impossible,5.091742992401123
52,1505,red,blue,impossible,5.073152303695679
53,1540,red,blue,hard,5.222988605499268
54,1550,red,blue,hard,5.074852466583252
55,1551,blue,blue,easy,5.077108144760132
56,1595,red,blue,easy,5.1814141273498535
57,1619,blue,blue,hard,5.164690256118774
58,1625,red,blue,hard,5.072025537490845
59,1627,red,blue,impossible,5.12260627746582
60,1644,red,blue,hard,5.061140298843384
61,1656,blue,blue,easy,5.133016347885132
62,1661,red,blue,hard,5.087055206298828
63,1759,blue,blue,easy,5.072810888290405
64,1781,red,blue,hard,5.062534332275391
65,1806,red,blue,impossible,5.108431577682495
66,1844,red,blue,veryhard,5.065983057022095
67,1867,red,blue,easy,5.067243337631226
68,1941,red,blue,hard,5.105583429336548
69,1943,blue,blue,easy,5.057599067687988
70,1949,red,blue,hard,5.066359758377075
71,2021,red,blue,veryhard,5.085533142089844
72,2060,red,blue,hard,5.06190037727356
73,2073,blue,blue,easy,5.073660373687744
74,2086,red,blue,hard,5.102325439453125
75,2095,red,blue,hard,5.07684063911438
76,2123,blue,blue,easy,5.060003995895386
77,2124,red,blue,veryhard,5.082650899887085
78,2143,red,blue,easy,5.064307451248169
79,2158,red,blue,veryhard,5.066956520080566
80,2180,red,blue,impossible,5.096410751342773
81,2211,red,blue,hard,5.0754523277282715
82,2294,red,blue,easy,5.070168972015381
83,2328,red,blue,veryhard,5.084329128265381
84,2403,red,blue,hard,5.067995309829712
85,2459,red,blue,easy,5.073637962341309
86,2491,red,blue,easy,5.100749969482422
87,2510,blue,blue,hard,5.0823657512664795
88,2519,red,blue,hard,5.058373928070068
89,2544,red,blue,hard,5.0930609703063965
90,2555,red,blue,veryhard,5.0749900341033936
91,2605,red,blue,hard,5.094096660614014
92,2607,red,blue,hard,5.117156028747559
93,2620,red,blue,veryhard,5.085127353668213
94,2646,red,blue,veryhard,5.059092283248901
95,2696,red,blue,impossible,5.1130852699279785
96,2711,red,blue,easy,5.072147846221924
97,2712,red,blue,easy,5.072386980056763
