,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,red,easy,3.2955689430236816
1,0101,red,red,easy,2.0881824493408203
2,0126,red,red,easy,2.1021809577941895
3,0143,red,red,hard,2.1086575984954834
4,0144,red,red,hard,2.0801522731781006
5,0181,red,red,hard,2.208906412124634
6,0194,blue,red,easy,2.0821127891540527
7,0214,red,red,veryhard,2.083914041519165
8,0244,blue,red,easy,2.111734628677368
9,0294,red,red,veryhard,2.0998752117156982
10,0307,red(maybe),red,easy,2.116182327270508
11,0329,red,red,impossible,2.095968723297119
12,0405,red,red,veryhard,2.127519130706787
13,0455,red,red,veryhard,2.1099236011505127
14,0473,red,red,hard,2.169116497039795
15,0482,red,red,impossible,2.138165235519409
16,0546,blue,red,easy,2.1058390140533447
17,0569,red,red,veryhard,2.132884979248047
18,0580,blue,red,easy,2.0914623737335205
19,0583,red,red,hard,2.135887861251831
20,0593,red,red,hard,2.0917139053344727
21,0688,red,red,impossible,2.1428284645080566
22,0709,red,red,veryhard,2.1328234672546387
23,0722,blue,red,impossible,2.1506378650665283
24,0731,red,red,easy,2.2218122482299805
25,0774,red,red,easy,2.1462435722351074
26,0782,red,red,hard,2.1340694427490234
27,0784,blue,red,impossible,2.1191728115081787
28,0822,red,red,easy,2.207246780395508
29,0925,red,red,hard,2.123142957687378
30,1094,red,red,hard,2.147390365600586
31,1117,red,red,hard,2.1196701526641846
32,1117,red,red,hard,2.1297481060028076
33,1145,red,red,hard,2.2030832767486572
34,1152,blue,red,easy,2.1388564109802246
35,1154,red,red,easy,2.175377607345581
36,1178,red,red,easy,2.13901424407959
37,1184,red,red,veryhard,2.124546527862549
38,1184,red,red,veryhard,2.1525235176086426
39,1189,red,red,impossible,2.113476037979126
40,1211,red,red,easy,2.1367478370666504
41,1212,red,red,easy,2.123955726623535
42,1248,red,red,impossible,2.1298513412475586
43,1255,blue,red,hard,2.16263747215271
44,1302,red,red,hard,2.1353859901428223
45,1338,red,red,hard,2.143618106842041
46,1383,blue,red,easy,2.1356046199798584
47,1428,red,red,easy,2.1156506538391113
48,1446,red,red,impossible,2.1061551570892334
49,1452,red,red,easy,2.1310365200042725
50,1462,blue,red,easy,2.1408352851867676
51,1489,red,red,impossible,2.145233154296875
52,1505,red,red,impossible,2.185558795928955
53,1540,red,red,hard,2.1300606727600098
54,1550,red,red,hard,2.1799960136413574
55,1551,blue,red,easy,2.1559841632843018
56,1595,red,red,easy,2.153515338897705
57,1619,blue,red,hard,2.145441770553589
58,1625,red,red,hard,2.1296818256378174
59,1627,red,red,impossible,2.127528429031372
60,1644,red,red,hard,2.1366076469421387
61,1656,blue,red,easy,2.234437942504883
62,1661,red,red,hard,2.2277889251708984
63,1759,blue,red,easy,2.127887725830078
64,1781,red,red,hard,2.15453839302063
65,1806,red,red,impossible,2.149887800216675
66,1844,red,red,veryhard,2.1579811573028564
67,1867,red,red,easy,2.111729383468628
68,1941,red,red,hard,2.1596760749816895
69,1943,blue,red,easy,2.17065167427063
70,1949,red,red,hard,2.1620426177978516
71,2021,red,red,veryhard,2.153618335723877
72,2060,red,red,hard,2.1886305809020996
73,2073,blue,red,easy,2.130225658416748
74,2086,red,red,hard,2.1614067554473877
75,2095,red,red,hard,2.1287002563476562
76,2123,blue,red,easy,2.161018133163452
77,2124,red,red,veryhard,2.1407840251922607
78,2143,red,red,easy,2.1521098613739014
79,2158,red,red,veryhard,2.173393964767456
80,2180,red,red,impossible,2.139995574951172
81,2211,red,red,hard,2.141746759414673
82,2294,red,red,easy,2.1498117446899414
83,2328,red,red,veryhard,2.1440186500549316
84,2403,red,red,hard,2.1474552154541016
85,2459,red,red,easy,2.1552438735961914
86,2491,red,red,easy,2.1588470935821533
87,2510,blue,red,hard,2.1465413570404053
88,2519,red,red,hard,2.1851658821105957
89,2544,red,red,hard,2.1964762210845947
90,2555,red,red,veryhard,2.150146722793579
91,2605,red,red,hard,2.1779723167419434
92,2607,red,red,hard,2.129302501678467
93,2620,red,red,veryhard,2.147181987762451
94,2646,red,red,veryhard,2.1372976303100586
95,2696,red,red,impossible,2.137495994567871
96,2711,red,red,easy,2.194683074951172
97,2712,red,red,easy,2.1514761447906494
