,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,blue,easy,4.935747861862183
1,0101,red,blue,easy,3.9519829750061035
2,0126,red,blue,easy,3.9709415435791016
3,0143,red,blue,hard,4.068376302719116
4,0144,red,blue,hard,4.010254144668579
5,0181,red,blue,hard,4.030916213989258
6,0194,blue,blue,easy,4.038415431976318
7,0214,red,blue,veryhard,4.042120695114136
8,0244,blue,blue,easy,4.0238893032073975
9,0294,red,blue,veryhard,4.0462164878845215
10,0307,red(maybe),blue,easy,4.05315899848938
11,0329,red,blue,impossible,4.085993766784668
12,0405,red,blue,veryhard,4.044931411743164
13,0455,red,blue,veryhard,4.074923276901245
14,0473,red,blue,hard,4.023780584335327
15,0482,red,blue,impossible,4.0876219272613525
16,0546,blue,blue,easy,4.075664043426514
17,0569,red,blue,veryhard,4.079439163208008
18,0580,blue,blue,easy,4.066444396972656
19,0583,red,blue,hard,4.094565153121948
20,0593,red,blue,hard,4.085340976715088
21,0688,red,blue,impossible,4.0752198696136475
22,0709,red,blue,veryhard,4.0851054191589355
23,0722,blue,blue,impossible,4.086760759353638
24,0731,red,blue,easy,4.084091424942017
25,0774,red,blue,easy,4.145097017288208
26,0782,red,blue,hard,4.09174370765686
27,0784,blue,blue,impossible,4.074431657791138
28,0822,red,blue,easy,4.052520751953125
29,0925,red,blue,hard,4.030738115310669
30,1094,red,blue,hard,3.991915464401245
31,1117,red,blue,hard,4.085888624191284
32,1117,red,blue,hard,4.0955283641815186
33,1145,red,blue,hard,4.098826885223389
34,1152,blue,blue,easy,4.090825080871582
35,1154,red,blue,easy,4.062726974487305
36,1178,red,blue,easy,4.085603952407837
37,1184,red,blue,veryhard,4.093135833740234
38,1184,red,blue,veryhard,4.132455110549927
39,1189,red,blue,impossible,4.095675468444824
40,1211,red,blue,easy,4.158924579620361
41,1212,red,blue,easy,4.090847730636597
42,1248,red,blue,impossible,4.126289367675781
43,1255,blue,blue,hard,4.112797498703003
44,1302,red,blue,hard,4.053115129470825
45,1338,red,blue,hard,4.096575021743774
46,1383,blue,blue,easy,4.085923433303833
47,1428,red,blue,easy,4.075409412384033
48,1446,red,blue,impossible,4.080332279205322
49,1452,red,blue,easy,4.094019412994385
50,1462,blue,blue,easy,4.1036763191223145
51,1489,red,blue,impossible,4.185387849807739
52,1505,red,blue,impossible,4.096069097518921
53,1540,red,blue,hard,4.109445571899414
54,1550,red,blue,hard,4.091109752655029
55,1551,blue,blue,easy,4.145994663238525
56,1595,red,blue,easy,4.113027334213257
57,1619,blue,blue,hard,4.075771808624268
58,1625,red,blue,hard,4.107611894607544
59,1627,red,blue,impossible,4.083074331283569
60,1644,red,blue,hard,4.098068714141846
61,1656,blue,blue,easy,4.116968631744385
62,1661,red,blue,hard,4.124350547790527
63,1759,blue,blue,easy,4.114260196685791
64,1781,red,blue,hard,4.122849941253662
65,1806,red,blue,impossible,4.085465908050537
66,1844,red,blue,veryhard,4.096916198730469
67,1867,red,blue,easy,4.069240093231201
68,1941,red,blue,hard,4.1008336544036865
69,1943,blue,blue,easy,4.081694602966309
70,1949,red,blue,hard,4.084842681884766
71,2021,red,blue,veryhard,4.088468551635742
72,2060,red,blue,hard,4.105981111526489
73,2073,blue,blue,easy,4.114322662353516
74,2086,red,blue,hard,4.098559617996216
75,2095,red,blue,hard,4.076337575912476
76,2123,blue,blue,easy,4.0986387729644775
77,2124,red,blue,veryhard,4.094529867172241
78,2143,red,blue,easy,4.0956268310546875
79,2158,red,blue,veryhard,4.130864381790161
80,2180,red,blue,impossible,4.07114839553833
81,2211,red,blue,hard,4.09318208694458
82,2294,red,blue,easy,4.118683099746704
83,2328,red,blue,veryhard,4.093768358230591
84,2403,red,blue,hard,4.140208959579468
85,2459,red,blue,easy,4.136728525161743
86,2491,red,blue,easy,4.085297346115112
87,2510,blue,blue,hard,4.099828481674194
88,2519,red,blue,hard,4.067289590835571
89,2544,red,blue,hard,4.073652029037476
90,2555,red,blue,veryhard,4.123544692993164
91,2605,red,blue,hard,4.092562675476074
92,2607,red,blue,hard,4.12223219871521
93,2620,red,blue,veryhard,4.08870530128479
94,2646,red,blue,veryhard,4.1019675731658936
95,2696,red,blue,impossible,4.156391382217407
96,2711,red,blue,easy,4.100323915481567
97,2712,red,blue,easy,4.120139122009277
