,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,red,easy,3.112274408340454
1,0101,red,red,easy,2.014427661895752
2,0126,red,red,easy,1.9955615997314453
3,0143,red,red,hard,2.0317630767822266
4,0144,red,red,hard,2.02902889251709
5,0181,red,red,hard,2.054891347885132
6,0194,blue,red,easy,2.0626919269561768
7,0214,red,red,veryhard,2.0459394454956055
8,0244,blue,red,easy,2.050534248352051
9,0294,red,red,veryhard,2.07330060005188
10,0307,red(maybe),red,easy,2.0669589042663574
11,0329,red,red,impossible,2.061035394668579
12,0405,red,red,veryhard,2.0621345043182373
13,0455,red,red,veryhard,2.1037418842315674
14,0473,red,red,hard,2.12465763092041
15,0482,red,red,impossible,2.0631520748138428
16,0546,blue,red,easy,2.0721867084503174
17,0569,red,red,veryhard,2.1241610050201416
18,0580,blue,red,easy,2.0630180835723877
19,0583,red,red,hard,2.115386962890625
20,0593,red,red,hard,2.127589702606201
21,0688,red,red,impossible,2.087352991104126
22,0709,red,red,veryhard,2.0801947116851807
23,0722,blue,red,impossible,2.076331853866577
24,0731,red,red,easy,2.084402561187744
25,0774,red,red,easy,2.0904557704925537
26,0782,red,red,hard,2.1563808917999268
27,0784,blue,red,impossible,2.090360164642334
28,0822,red,red,easy,2.097233772277832
29,0925,red,red,hard,2.0607104301452637
30,1094,red,red,hard,2.0280632972717285
31,1117,red,red,hard,2.0068533420562744
32,1117,red,red,hard,2.0072226524353027
33,1145,red,red,hard,2.188284397125244
34,1152,blue,red,easy,2.0780234336853027
35,1154,red,red,easy,2.091940402984619
36,1178,red,red,easy,2.086367130279541
37,1184,red,red,veryhard,2.062843084335327
38,1184,red,red,veryhard,2.105820417404175
39,1189,red,red,impossible,2.0906803607940674
40,1211,red,red,easy,2.1457459926605225
41,1212,red,red,easy,2.095400810241699
42,1248,red,red,impossible,2.0761749744415283
43,1255,blue,red,hard,2.090728759765625
44,1302,red,red,hard,2.139845848083496
45,1338,red,red,hard,2.0654051303863525
46,1383,blue,red,easy,2.0885965824127197
47,1428,red,red,easy,2.164257287979126
48,1446,red,red,impossible,2.0958430767059326
49,1452,red,red,easy,2.147942543029785
50,1462,blue,red,easy,2.084632158279419
51,1489,red,red,impossible,2.076213836669922
52,1505,red,red,impossible,2.188718557357788
53,1540,red,red,hard,2.091482162475586
54,1550,red,red,hard,2.175175905227661
55,1551,blue,red,easy,2.106191635131836
56,1595,red,red,easy,2.086409330368042
57,1619,blue,red,hard,2.088540554046631
58,1625,red,red,hard,2.103175401687622
59,1627,red,red,impossible,2.0786287784576416
60,1644,red,red,hard,2.086787700653076
61,1656,blue,red,easy,2.144421339035034
62,1661,red,red,hard,2.085033893585205
63,1759,blue,red,easy,2.0830962657928467
64,1781,red,red,hard,2.103790760040283
65,1806,red,red,impossible,2.0873186588287354
66,1844,red,red,veryhard,2.1331629753112793
67,1867,red,red,easy,2.0917890071868896
68,1941,red,red,hard,2.1538102626800537
69,1943,blue,red,easy,2.135246515274048
70,1949,red,red,hard,2.094749927520752
71,2021,red,red,veryhard,2.1638998985290527
72,2060,red,red,hard,2.1003150939941406
73,2073,blue,red,easy,2.0909063816070557
74,2086,red,red,hard,2.0857560634613037
75,2095,red,red,hard,2.1495044231414795
76,2123,blue,red,easy,2.1317150592803955
77,2124,red,red,veryhard,2.117396593093872
78,2143,red,red,easy,2.084744691848755
79,2158,red,red,veryhard,2.1159884929656982
80,2180,red,red,impossible,2.097447395324707
81,2211,red,red,hard,2.110808849334717
82,2294,red,red,easy,2.1662611961364746
83,2328,red,red,veryhard,2.0906240940093994
84,2403,red,red,hard,2.1107177734375
85,2459,red,red,easy,2.0992610454559326
86,2491,red,red,easy,2.0764386653900146
87,2510,blue,red,hard,2.07059383392334
88,2519,red,red,hard,2.019469738006592
89,2544,red,red,hard,2.079810857772827
90,2555,red,red,veryhard,2.163438081741333
91,2605,red,red,hard,2.092271566390991
92,2607,red,red,hard,2.110870122909546
93,2620,red,red,veryhard,2.0865273475646973
94,2646,red,red,veryhard,2.1042287349700928
95,2696,red,red,impossible,2.1054511070251465
96,2711,red,red,easy,2.155254602432251
97,2712,red,red,easy,2.095075845718384
