,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,blue,easy,4.602773189544678
1,0101,red,blue,easy,3.876767158508301
2,0126,red,blue,easy,3.8433268070220947
3,0143,red,blue,hard,3.909407615661621
4,0144,red,blue,hard,3.8872151374816895
5,0181,red,blue,hard,3.900521993637085
6,0194,blue,blue,easy,3.887019395828247
7,0214,red,blue,veryhard,3.8925492763519287
8,0244,blue,blue,easy,3.9736075401306152
9,0294,red,blue,veryhard,3.907486915588379
10,0307,red(maybe),blue,easy,3.903505325317383
11,0329,red,blue,impossible,3.9201691150665283
12,0405,red,blue,veryhard,3.9195170402526855
13,0455,red,blue,veryhard,3.9180960655212402
14,0473,red,blue,hard,3.918015956878662
15,0482,red,blue,impossible,3.9329605102539062
16,0546,blue,blue,easy,3.946906805038452
17,0569,red,blue,veryhard,3.9364497661590576
18,0580,blue,blue,easy,3.9305477142333984
19,0583,red,blue,hard,3.9364755153656006
20,0593,red,blue,hard,4.010633707046509
21,0688,red,blue,impossible,3.940164566040039
22,0709,red,blue,veryhard,3.936737537384033
23,0722,blue,blue,impossible,3.9384994506835938
24,0731,red,blue,easy,3.9708590507507324
25,0774,red,blue,easy,3.955005168914795
26,0782,red,blue,hard,3.9522204399108887
27,0784,blue,blue,impossible,3.9431889057159424
28,0822,red,blue,easy,3.9519526958465576
29,0925,red,blue,hard,3.972463369369507
30,1094,red,blue,hard,3.953566074371338
31,1117,red,blue,hard,3.9503283500671387
32,1117,red,blue,hard,3.9547677040100098
33,1145,red,blue,hard,3.9461233615875244
34,1152,blue,blue,easy,4.018251419067383
35,1154,red,blue,easy,4.000921726226807
36,1178,red,blue,easy,3.9508821964263916
37,1184,red,blue,veryhard,3.9590303897857666
38,1184,red,blue,veryhard,3.977820873260498
39,1189,red,blue,impossible,4.033586740493774
40,1211,red,blue,easy,3.964970350265503
41,1212,red,blue,easy,3.955763101577759
42,1248,red,blue,impossible,3.9590744972229004
43,1255,blue,blue,hard,3.966127634048462
44,1302,red,blue,hard,3.9617834091186523
45,1338,red,blue,hard,3.9648094177246094
46,1383,blue,blue,easy,3.9588658809661865
47,1428,red,blue,easy,3.9731295108795166
48,1446,red,blue,impossible,3.963052272796631
49,1452,red,blue,easy,3.9644644260406494
50,1462,blue,blue,easy,3.9894657135009766
51,1489,red,blue,impossible,3.961810827255249
52,1505,red,blue,impossible,3.9658896923065186
53,1540,red,blue,hard,3.9625611305236816
54,1550,red,blue,hard,3.9973456859588623
55,1551,blue,blue,easy,3.960340738296509
56,1595,red,blue,easy,3.953118085861206
57,1619,blue,blue,hard,3.956818103790283
58,1625,red,blue,hard,3.9595096111297607
59,1627,red,blue,impossible,3.9500317573547363
60,1644,red,blue,hard,3.9511091709136963
61,1656,blue,blue,easy,3.9760019779205322
62,1661,red,blue,hard,3.961656093597412
63,1759,blue,blue,easy,3.9518589973449707
64,1781,red,blue,hard,3.954784631729126
65,1806,red,blue,impossible,4.04271674156189
66,1844,red,blue,veryhard,3.954422950744629
67,1867,red,blue,easy,3.9564096927642822
68,1941,red,blue,hard,3.9573163986206055
69,1943,blue,blue,easy,3.9856395721435547
70,1949,red,blue,hard,4.031481504440308
71,2021,red,blue,veryhard,3.945859909057617
72,2060,red,blue,hard,3.959685802459717
73,2073,blue,blue,easy,3.96787691116333
74,2086,red,blue,hard,3.951626777648926
75,2095,red,blue,hard,3.954955577850342
76,2123,blue,blue,easy,3.972595691680908
77,2124,red,blue,veryhard,3.954219341278076
78,2143,red,blue,easy,3.952563762664795
79,2158,red,blue,veryhard,3.9580674171447754
80,2180,red,blue,impossible,3.94781756401062
81,2211,red,blue,hard,3.946125030517578
82,2294,red,blue,easy,3.954631805419922
83,2328,red,blue,veryhard,3.9743688106536865
84,2403,red,blue,hard,3.9804763793945312
85,2459,red,blue,easy,3.953219413757324
86,2491,red,blue,easy,3.9480090141296387
87,2510,blue,blue,hard,3.953103542327881
88,2519,red,blue,hard,3.991529703140259
89,2544,red,blue,hard,3.9454071521759033
90,2555,red,blue,veryhard,3.95086407661438
91,2605,red,blue,hard,3.9460666179656982
92,2607,red,blue,hard,3.949472427368164
93,2620,red,blue,veryhard,3.9430394172668457
94,2646,red,blue,veryhard,3.946200370788574
95,2696,red,blue,impossible,3.9496662616729736
96,2711,red,blue,easy,4.042798280715942
97,2712,red,blue,easy,3.948923349380493
