,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,red,easy,3.0374114513397217
1,0101,red,red,easy,1.9634413719177246
2,0126,red,red,easy,1.9663102626800537
3,0143,red,red,hard,1.9768109321594238
4,0144,red,red,hard,1.9777817726135254
5,0181,red,red,hard,2.0096824169158936
6,0194,blue,red,easy,1.9795300960540771
7,0214,red,red,veryhard,1.9853191375732422
8,0244,blue,red,easy,1.9945287704467773
9,0294,red,red,veryhard,2.0666394233703613
10,0307,red(maybe),red,easy,1.9798009395599365
11,0329,red,red,impossible,2.005582332611084
12,0405,red,red,veryhard,1.99686598777771
13,0455,red,red,veryhard,1.9898922443389893
14,0473,red,red,hard,1.991825819015503
15,0482,red,red,impossible,1.9973030090332031
16,0546,blue,red,easy,2.0016725063323975
17,0569,red,red,veryhard,2.0023488998413086
18,0580,blue,red,easy,1.9950766563415527
19,0583,red,red,hard,2.0941691398620605
20,0593,red,red,hard,1.9993369579315186
21,0688,red,red,impossible,1.9976110458374023
22,0709,red,red,veryhard,1.998603105545044
23,0722,blue,red,impossible,2.017956495285034
24,0731,red,red,easy,2.0098555088043213
25,0774,red,red,easy,2.0218100547790527
26,0782,red,red,hard,2.005737543106079
27,0784,blue,red,impossible,2.0390031337738037
28,0822,red,red,easy,2.006441116333008
29,0925,red,red,hard,2.0892698764801025
30,1094,red,red,hard,2.0077664852142334
31,1117,red,red,hard,2.0045125484466553
32,1117,red,red,hard,2.0541868209838867
33,1145,red,red,hard,2.0098776817321777
34,1152,blue,red,easy,2.051490306854248
35,1154,red,red,easy,2.014448881149292
36,1178,red,red,easy,2.0156490802764893
37,1184,red,red,veryhard,2.012413263320923
38,1184,red,red,veryhard,2.013023614883423
39,1189,red,red,impossible,2.0136475563049316
40,1211,red,red,easy,2.063823938369751
41,1212,red,red,easy,2.037640333175659
42,1248,red,red,impossible,2.0146689414978027
43,1255,blue,red,hard,2.0282692909240723
44,1302,red,red,hard,2.0160446166992188
45,1338,red,red,hard,2.028514862060547
46,1383,blue,red,easy,2.0170376300811768
47,1428,red,red,easy,2.0163466930389404
48,1446,red,red,impossible,2.010603189468384
49,1452,red,red,easy,2.0262703895568848
50,1462,blue,red,easy,2.031538248062134
51,1489,red,red,impossible,2.016819715499878
52,1505,red,red,impossible,2.0200819969177246
53,1540,red,red,hard,2.015622138977051
54,1550,red,red,hard,2.0232410430908203
55,1551,blue,red,easy,2.0139591693878174
56,1595,red,red,easy,2.015080213546753
57,1619,blue,red,hard,2.0126969814300537
58,1625,red,red,hard,2.0142688751220703
59,1627,red,red,impossible,2.0175278186798096
60,1644,red,red,hard,2.0202221870422363
61,1656,blue,red,easy,2.0357139110565186
62,1661,red,red,hard,2.0367987155914307
63,1759,blue,red,easy,2.045241594314575
64,1781,red,red,hard,2.017138719558716
65,1806,red,red,impossible,2.022909164428711
66,1844,red,red,veryhard,2.010542392730713
67,1867,red,red,easy,2.022641181945801
68,1941,red,red,hard,2.0219216346740723
69,1943,blue,red,easy,2.0215377807617188
70,1949,red,red,hard,2.0153872966766357
71,2021,red,red,veryhard,2.0246963500976562
72,2060,red,red,hard,2.0217623710632324
73,2073,blue,red,easy,2.013308525085449
74,2086,red,red,hard,2.0185415744781494
75,2095,red,red,hard,2.010706901550293
76,2123,blue,red,easy,2.028212785720825
77,2124,red,red,veryhard,2.018791675567627
78,2143,red,red,easy,2.0215508937835693
79,2158,red,red,veryhard,2.023547649383545
80,2180,red,red,impossible,2.038682222366333
81,2211,red,red,hard,2.0241570472717285
82,2294,red,red,easy,2.0201213359832764
83,2328,red,red,veryhard,2.014530897140503
84,2403,red,red,hard,2.0210719108581543
85,2459,red,red,easy,2.031062602996826
86,2491,red,red,easy,2.0194108486175537
87,2510,blue,red,hard,2.025074005126953
88,2519,red,red,hard,2.0802457332611084
89,2544,red,red,hard,2.028296947479248
90,2555,red,red,veryhard,2.0163965225219727
91,2605,red,red,hard,2.0451014041900635
92,2607,red,red,hard,2.0328562259674072
93,2620,red,red,veryhard,2.0245890617370605
94,2646,red,red,veryhard,2.022526502609253
95,2696,red,red,impossible,2.02071475982666
96,2711,red,red,easy,2.0211856365203857
97,2712,red,red,easy,2.0226330757141113
