,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,red,easy,3.1756460666656494
1,0101,red,red,easy,2.000767469406128
2,0126,red,red,easy,1.967674970626831
3,0143,red,red,hard,1.9435474872589111
4,0144,red,red,hard,2.0029146671295166
5,0181,red,red,hard,1.9957427978515625
6,0194,blue,red,easy,2.0263915061950684
7,0214,red,red,veryhard,2.0444095134735107
8,0244,blue,red,easy,2.0194196701049805
9,0294,red,red,veryhard,2.011326789855957
10,0307,red(maybe),red,easy,2.0222222805023193
11,0329,red,red,impossible,1.994703769683838
12,0405,red,red,veryhard,2.0131332874298096
13,0455,red,red,veryhard,2.0253419876098633
14,0473,red,red,hard,2.0135910511016846
15,0482,red,red,impossible,2.0002944469451904
16,0546,blue,red,easy,2.061292886734009
17,0569,red,red,veryhard,2.0664398670196533
18,0580,blue,red,easy,2.0939719676971436
19,0583,red,red,hard,2.0144553184509277
20,0593,red,red,hard,2.0318429470062256
21,0688,red,red,impossible,2.038245677947998
22,0709,red,red,veryhard,2.045642137527466
23,0722,blue,red,impossible,2.0242116451263428
24,0731,red,red,easy,2.0318307876586914
25,0774,red,red,easy,2.05975604057312
26,0782,red,red,hard,2.033832311630249
27,0784,blue,red,impossible,2.06245756149292
28,0822,red,red,easy,2.0354862213134766
29,0925,red,red,hard,2.043818473815918
30,1094,red,red,hard,2.039632797241211
31,1117,red,red,hard,2.0615522861480713
32,1117,red,red,hard,2.016921043395996
33,1145,red,red,hard,2.1041336059570312
34,1152,blue,red,easy,2.0806102752685547
35,1154,red,red,easy,2.0356533527374268
36,1178,red,red,easy,2.078096628189087
37,1184,red,red,veryhard,2.0723211765289307
38,1184,red,red,veryhard,2.0565812587738037
39,1189,red,red,impossible,2.045182466506958
40,1211,red,red,easy,2.117860794067383
41,1212,red,red,easy,2.057424306869507
42,1248,red,red,impossible,2.0225417613983154
43,1255,blue,red,hard,2.056262254714966
44,1302,red,red,hard,2.063676118850708
45,1338,red,red,hard,2.0390899181365967
46,1383,blue,red,easy,2.1288559436798096
47,1428,red,red,easy,2.072723388671875
48,1446,red,red,impossible,2.0703985691070557
49,1452,red,red,easy,2.0555286407470703
50,1462,blue,red,easy,2.0533270835876465
51,1489,red,red,impossible,2.055543899536133
52,1505,red,red,impossible,2.067903518676758
53,1540,red,red,hard,2.0424482822418213
54,1550,red,red,hard,2.043299913406372
55,1551,blue,red,easy,2.0406854152679443
56,1595,red,red,easy,2.1222736835479736
57,1619,blue,red,hard,2.0424680709838867
58,1625,red,red,hard,2.047494888305664
59,1627,red,red,impossible,2.065021514892578
60,1644,red,red,hard,2.0358664989471436
61,1656,blue,red,easy,2.0376009941101074
62,1661,red,red,hard,2.09576153755188
63,1759,blue,red,easy,2.0542192459106445
64,1781,red,red,hard,2.0852279663085938
65,1806,red,red,impossible,2.0722546577453613
66,1844,red,red,veryhard,2.133700370788574
67,1867,red,red,easy,2.0707826614379883
68,1941,red,red,hard,2.074080467224121
69,1943,blue,red,easy,2.0931851863861084
70,1949,red,red,hard,2.0474958419799805
71,2021,red,red,veryhard,2.087219715118408
72,2060,red,red,hard,2.071737766265869
73,2073,blue,red,easy,2.101855754852295
74,2086,red,red,hard,2.0642099380493164
75,2095,red,red,hard,2.0812134742736816
76,2123,blue,red,easy,2.0713346004486084
77,2124,red,red,veryhard,2.0310802459716797
78,2143,red,red,easy,2.0551199913024902
79,2158,red,red,veryhard,2.0695528984069824
80,2180,red,red,impossible,2.0591254234313965
81,2211,red,red,hard,2.069303035736084
82,2294,red,red,easy,2.0693681240081787
83,2328,red,red,veryhard,2.056406259536743
84,2403,red,red,hard,2.091557741165161
85,2459,red,red,easy,2.059476613998413
86,2491,red,red,easy,2.044241189956665
87,2510,blue,red,hard,2.0548934936523438
88,2519,red,red,hard,2.05596661567688
89,2544,red,red,hard,2.0550155639648438
90,2555,red,red,veryhard,2.0356369018554688
91,2605,red,red,hard,2.0995471477508545
92,2607,red,red,hard,2.0399839878082275
93,2620,red,red,veryhard,2.071465015411377
94,2646,red,red,veryhard,2.0700392723083496
95,2696,red,red,impossible,2.035041093826294
96,2711,red,red,easy,2.057295322418213
97,2712,red,red,easy,2.064910411834717
