,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,blue,easy,6.040422439575195
1,0101,red,red,easy,3.9602065086364746
2,0126,red,red,easy,3.9750308990478516
3,0143,red,red,hard,4.071143627166748
4,0144,red,red,hard,3.949805974960327
5,0181,red,red,hard,3.9976727962493896
6,0194,blue,blue,easy,5.237066268920898
7,0214,red,red,veryhard,3.994574785232544
8,0244,blue,blue,easy,5.238830327987671
9,0294,red,red,veryhard,4.039021015167236
10,0307,red(maybe),blue,easy,5.328938245773315
11,0329,red,red,impossible,4.038951396942139
12,0405,red,red,veryhard,4.035072565078735
13,0455,red,red,veryhard,4.046973705291748
14,0473,red,red,hard,4.043230295181274
15,0482,red,red,impossible,4.03654932975769
16,0546,blue,blue,easy,5.261071681976318
17,0569,red,red,veryhard,4.101794481277466
18,0580,blue,red,easy,4.082401752471924
19,0583,red,red,hard,4.073467016220093
20,0593,red,red,hard,4.060515403747559
21,0688,red,red,impossible,4.054510831832886
22,0709,red,red,veryhard,4.040427923202515
23,0722,blue,red,impossible,4.043767929077148
24,0731,red,red,easy,4.061503171920776
25,0774,red,red,easy,4.044727802276611
26,0782,red,red,hard,4.042545318603516
27,0784,blue,blue,impossible,5.341993570327759
28,0822,red,blue,easy,4.168298721313477
29,0925,red,red,hard,4.165642976760864
30,1094,red,red,hard,4.074187994003296
31,1117,red,red,hard,4.061127662658691
32,1117,red,red,hard,4.038478136062622
33,1145,red,red,hard,3.9628448486328125
34,1152,blue,blue,easy,5.277500867843628
35,1154,red,red,easy,4.121978044509888
36,1178,red,red,easy,4.066098928451538
37,1184,red,red,veryhard,4.067776441574097
38,1184,red,red,veryhard,4.080458641052246
39,1189,red,red,impossible,4.090709209442139
40,1211,red,red,easy,4.087896823883057
41,1212,red,red,easy,4.14866304397583
42,1248,red,red,impossible,4.09152626991272
43,1255,blue,red,hard,4.087765216827393
44,1302,red,red,hard,4.079403877258301
45,1338,red,red,hard,4.068827152252197
46,1383,blue,blue,easy,5.434054136276245
47,1428,red,red,easy,4.070347785949707
48,1446,red,red,impossible,4.017411231994629
49,1452,red,red,easy,4.0768349170684814
50,1462,blue,blue,easy,5.3578040599823
51,1489,red,red,impossible,4.132130146026611
52,1505,red,red,impossible,4.067623615264893
53,1540,red,red,hard,4.125316858291626
54,1550,red,red,hard,4.073270320892334
55,1551,blue,blue,easy,5.311861753463745
56,1595,red,red,easy,4.114258766174316
57,1619,blue,red,hard,4.075486660003662
58,1625,red,red,hard,4.079621076583862
59,1627,red,red,impossible,4.095702648162842
60,1644,red,red,hard,4.156479597091675
61,1656,blue,blue,easy,5.337960243225098
62,1661,red,red,hard,4.010645866394043
63,1759,blue,blue,easy,5.353151082992554
64,1781,red,red,hard,4.063809156417847
65,1806,red,red,impossible,4.120416164398193
66,1844,red,red,veryhard,4.065424203872681
67,1867,red,red,easy,4.104477882385254
68,1941,red,red,hard,4.0464677810668945
69,1943,blue,blue,easy,5.410217046737671
70,1949,red,red,hard,4.117027282714844
71,2021,red,red,veryhard,4.05244779586792
72,2060,red,red,hard,4.06760311126709
73,2073,blue,blue,easy,5.303772211074829
74,2086,red,red,hard,4.088485956192017
75,2095,red,red,hard,4.083119630813599
76,2123,blue,blue,easy,5.278971910476685
77,2124,red,red,veryhard,4.137512922286987
78,2143,red,red,easy,4.07229208946228
79,2158,red,red,veryhard,4.061091899871826
80,2180,red,red,impossible,4.078711748123169
81,2211,red,red,hard,4.077717065811157
82,2294,red,red,easy,4.056634902954102
83,2328,red,red,veryhard,4.064631223678589
84,2403,red,red,hard,4.083913087844849
85,2459,red,red,easy,4.058637380599976
86,2491,red,blue,easy,4.077234745025635
87,2510,blue,blue,hard,5.293259143829346
88,2519,red,red,hard,4.130518436431885
89,2544,red,red,hard,4.099859237670898
90,2555,red,red,veryhard,4.032585382461548
91,2605,red,red,hard,4.074453353881836
92,2607,red,red,hard,4.055176258087158
93,2620,red,red,veryhard,4.049351692199707
94,2646,red,red,veryhard,4.073995351791382
95,2696,red,red,impossible,4.069828987121582
96,2711,red,red,easy,4.0680155754089355
97,2712,red,red,easy,4.1160361766815186
