,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,red,easy,3.3179032802581787
1,0101,red,red,easy,2.0204522609710693
2,0126,red,red,easy,2.0070555210113525
3,0143,red,red,hard,1.9945361614227295
4,0144,red,red,hard,2.002739906311035
5,0181,red,red,hard,2.0222158432006836
6,0194,blue,red,easy,2.005617380142212
7,0214,red,red,veryhard,2.029780387878418
8,0244,blue,red,easy,1.9955456256866455
9,0294,red,red,veryhard,2.0652225017547607
10,0307,red(maybe),red,easy,2.006450653076172
11,0329,red,red,impossible,1.98872971534729
12,0405,red,red,veryhard,2.0340819358825684
13,0455,red,red,veryhard,2.0051259994506836
14,0473,red,red,hard,2.0483815670013428
15,0482,red,red,impossible,2.1033174991607666
16,0546,blue,red,easy,2.0199718475341797
17,0569,red,red,veryhard,2.014249324798584
18,0580,blue,red,easy,2.0079565048217773
19,0583,red,red,hard,2.133634328842163
20,0593,red,red,hard,2.027254343032837
21,0688,red,red,impossible,2.019719123840332
22,0709,red,red,veryhard,2.0105843544006348
23,0722,blue,red,impossible,1.9851200580596924
24,0731,red,red,easy,2.0745153427124023
25,0774,red,red,easy,2.0579006671905518
26,0782,red,red,hard,2.054781436920166
27,0784,blue,red,impossible,2.052694082260132
28,0822,red,red,easy,2.05635666847229
29,0925,red,red,hard,2.1273272037506104
30,1094,red,red,hard,2.0625686645507812
31,1117,red,red,hard,2.047623634338379
32,1117,red,red,hard,2.047309398651123
33,1145,red,red,hard,2.0669772624969482
34,1152,blue,red,easy,2.0531368255615234
35,1154,red,red,easy,2.0504567623138428
36,1178,red,red,easy,2.043166160583496
37,1184,red,red,veryhard,2.1009387969970703
38,1184,red,red,veryhard,2.0616252422332764
39,1189,red,red,impossible,2.0767054557800293
40,1211,red,red,easy,2.0604591369628906
41,1212,red,red,easy,2.0503149032592773
42,1248,red,red,impossible,2.044910430908203
43,1255,blue,red,hard,2.0495786666870117
44,1302,red,red,hard,2.1141834259033203
45,1338,red,red,hard,2.0732057094573975
46,1383,blue,red,easy,2.068986177444458
47,1428,red,red,easy,2.0732522010803223
48,1446,red,red,impossible,2.0693631172180176
49,1452,red,red,easy,2.0584845542907715
50,1462,blue,red,easy,2.0429506301879883
51,1489,red,red,impossible,2.0574774742126465
52,1505,red,red,impossible,2.019778251647949
53,1540,red,red,hard,2.0512313842773438
54,1550,red,red,hard,2.046038866043091
55,1551,blue,red,easy,2.0557057857513428
56,1595,red,red,easy,2.0432651042938232
57,1619,blue,red,hard,2.050089120864868
58,1625,red,red,hard,2.0382542610168457
59,1627,red,red,impossible,2.088517189025879
60,1644,red,red,hard,2.0847504138946533
61,1656,blue,red,easy,2.0593152046203613
62,1661,red,red,hard,2.0530812740325928
63,1759,blue,red,easy,2.069784164428711
64,1781,red,red,hard,2.0693907737731934
65,1806,red,red,impossible,2.062389612197876
66,1844,red,red,veryhard,2.125915288925171
67,1867,red,red,easy,2.079993963241577
68,1941,red,red,hard,2.0664196014404297
69,1943,blue,red,easy,2.072446584701538
70,1949,red,red,hard,2.078834295272827
71,2021,red,red,veryhard,2.0720062255859375
72,2060,red,red,hard,2.068417549133301
73,2073,blue,red,easy,2.0810649394989014
74,2086,red,red,hard,2.0731606483459473
75,2095,red,red,hard,2.069866895675659
76,2123,blue,red,easy,2.0692503452301025
77,2124,red,red,veryhard,2.0755903720855713
78,2143,red,red,easy,2.1123805046081543
79,2158,red,red,veryhard,2.075941562652588
80,2180,red,red,impossible,2.048624038696289
81,2211,red,red,hard,2.0363221168518066
82,2294,red,red,easy,2.042095184326172
83,2328,red,red,veryhard,2.069495439529419
84,2403,red,red,hard,2.0550081729888916
85,2459,red,red,easy,2.0492992401123047
86,2491,red,red,easy,2.0642685890197754
87,2510,blue,red,hard,2.0673186779022217
88,2519,red,red,hard,2.1491031646728516
89,2544,red,red,hard,2.0471553802490234
90,2555,red,red,veryhard,2.0816657543182373
91,2605,red,red,hard,2.0747008323669434
92,2607,red,red,hard,2.0687623023986816
93,2620,red,red,veryhard,2.0748162269592285
94,2646,red,red,veryhard,2.0625112056732178
95,2696,red,red,impossible,2.1595945358276367
96,2711,red,red,easy,2.0552098751068115
97,2712,red,red,easy,2.0672786235809326
