,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,blue,easy,13.832367658615112
1,0101,red,red,easy,3.892608880996704
2,0126,red,red,easy,3.9694151878356934
3,0143,red,red,hard,3.9607579708099365
4,0144,red,red,hard,3.9407501220703125
5,0181,red,red,hard,3.9564311504364014
6,0194,blue,blue,easy,5.193503141403198
7,0214,red,red,veryhard,3.969348907470703
8,0244,blue,blue,easy,5.218677043914795
9,0294,red,red,veryhard,4.012082576751709
10,0307,red(maybe),blue,easy,5.2032575607299805
11,0329,red,red,impossible,4.027837514877319
12,0405,red,red,veryhard,4.123581647872925
13,0455,red,red,veryhard,4.023234605789185
14,0473,red,red,hard,4.021427392959595
15,0482,red,red,impossible,4.0300304889678955
16,0546,blue,blue,easy,5.2506091594696045
17,0569,red,red,veryhard,4.029770851135254
18,0580,blue,red,easy,3.9871723651885986
19,0583,red,red,hard,3.9444003105163574
20,0593,red,red,hard,3.9806604385375977
21,0688,red,red,impossible,4.042614221572876
22,0709,red,red,veryhard,4.114012241363525
23,0722,blue,red,impossible,4.037568807601929
24,0731,red,red,easy,4.038417339324951
25,0774,red,red,easy,4.146117210388184
26,0782,red,red,hard,4.051748037338257
27,0784,blue,blue,impossible,5.310515880584717
28,0822,red,blue,easy,4.031885385513306
29,0925,red,red,hard,4.051153898239136
30,1094,red,red,hard,4.054883241653442
31,1117,red,red,hard,4.0686540603637695
32,1117,red,red,hard,4.123716592788696
33,1145,red,red,hard,4.031898021697998
34,1152,blue,blue,easy,5.206130027770996
35,1154,red,red,easy,4.081752061843872
36,1178,red,red,easy,4.044504404067993
37,1184,red,red,veryhard,4.059514999389648
38,1184,red,red,veryhard,4.075543165206909
39,1189,red,red,impossible,4.047137260437012
40,1211,red,red,easy,4.079033851623535
41,1212,red,red,easy,4.078107118606567
42,1248,red,red,impossible,4.0384321212768555
43,1255,blue,red,hard,4.034003734588623
44,1302,red,red,hard,4.059249639511108
45,1338,red,red,hard,4.042852878570557
46,1383,blue,blue,easy,5.2884840965271
47,1428,red,red,easy,4.033200979232788
48,1446,red,red,impossible,4.040631055831909
49,1452,red,red,easy,4.0083677768707275
50,1462,blue,blue,easy,5.212648630142212
51,1489,red,red,impossible,4.078567266464233
52,1505,red,red,impossible,4.025210857391357
53,1540,red,red,hard,4.041072130203247
54,1550,red,red,hard,4.101759195327759
55,1551,blue,blue,easy,5.258646011352539
56,1595,red,red,easy,4.038295030593872
57,1619,blue,red,hard,4.053035020828247
58,1625,red,red,hard,4.00034236907959
59,1627,red,red,impossible,4.060348987579346
60,1644,red,red,hard,4.060437440872192
61,1656,blue,blue,easy,5.41845178604126
62,1661,red,red,hard,4.03803014755249
63,1759,blue,blue,easy,5.2323479652404785
64,1781,red,red,hard,4.042325973510742
65,1806,red,red,impossible,4.03303337097168
66,1844,red,red,veryhard,4.155318737030029
67,1867,red,red,easy,4.0954742431640625
68,1941,red,red,hard,4.0955259799957275
69,1943,blue,blue,easy,5.317850351333618
70,1949,red,red,hard,4.049647092819214
71,2021,red,red,veryhard,4.093218088150024
72,2060,red,red,hard,4.068515777587891
73,2073,blue,blue,easy,5.259088516235352
74,2086,red,red,hard,4.058473825454712
75,2095,red,red,hard,4.06728196144104
76,2123,blue,blue,easy,5.2047202587127686
77,2124,red,red,veryhard,3.988308906555176
78,2143,red,red,easy,4.034065008163452
79,2158,red,red,veryhard,4.062020778656006
80,2180,red,red,impossible,4.023515462875366
81,2211,red,red,hard,4.063617706298828
82,2294,red,red,easy,4.11926007270813
83,2328,red,red,veryhard,4.013369083404541
84,2403,red,red,hard,4.045518159866333
85,2459,red,red,easy,4.044636487960815
86,2491,red,blue,easy,4.044943332672119
87,2510,blue,blue,hard,5.297168970108032
88,2519,red,red,hard,4.04162073135376
89,2544,red,red,hard,4.045591831207275
90,2555,red,red,veryhard,4.059742212295532
91,2605,red,red,hard,4.0423266887664795
92,2607,red,red,hard,4.026747703552246
93,2620,red,red,veryhard,4.092560291290283
94,2646,red,red,veryhard,4.058917284011841
95,2696,red,red,impossible,4.0625996589660645
96,2711,red,red,easy,4.056397914886475
97,2712,red,red,easy,4.030747652053833
