,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,red,easy,3.26670503616333
1,0101,red,red,easy,2.09165096282959
2,0126,red,red,easy,2.078542470932007
3,0143,red,red,hard,2.1871302127838135
4,0144,red,red,hard,2.069037437438965
5,0181,red,red,hard,2.11051082611084
6,0194,blue,red,easy,2.0914831161499023
7,0214,red,red,veryhard,2.1062300205230713
8,0244,blue,red,easy,2.1199722290039062
9,0294,red,red,veryhard,2.104722499847412
10,0307,red(maybe),red,easy,2.1072909832000732
11,0329,red,red,impossible,2.120758533477783
12,0405,red,red,veryhard,2.1347620487213135
13,0455,red,red,veryhard,2.142461061477661
14,0473,red,red,hard,2.110701084136963
15,0482,red,red,impossible,2.182556629180908
16,0546,blue,red,easy,2.122528314590454
17,0569,red,red,veryhard,2.122565269470215
18,0580,blue,red,easy,2.1007821559906006
19,0583,red,red,hard,2.1317265033721924
20,0593,red,red,hard,2.095595121383667
21,0688,red,red,impossible,2.1673097610473633
22,0709,red,red,veryhard,2.189216375350952
23,0722,blue,red,impossible,2.2048919200897217
24,0731,red,red,easy,2.108896017074585
25,0774,red,red,easy,2.1266977787017822
26,0782,red,red,hard,2.1147241592407227
27,0784,blue,red,impossible,2.1256520748138428
28,0822,red,red,easy,2.1368319988250732
29,0925,red,red,hard,2.1118452548980713
30,1094,red,red,hard,2.144240140914917
31,1117,red,red,hard,2.1080241203308105
32,1117,red,red,hard,2.2337570190429688
33,1145,red,red,hard,2.148885726928711
34,1152,blue,red,easy,2.119236469268799
35,1154,red,red,easy,2.14384388923645
36,1178,red,red,easy,2.155630350112915
37,1184,red,red,veryhard,2.1288633346557617
38,1184,red,red,veryhard,2.1588666439056396
39,1189,red,red,impossible,2.1284337043762207
40,1211,red,red,easy,2.136547327041626
41,1212,red,red,easy,2.1267969608306885
42,1248,red,red,impossible,2.138808488845825
43,1255,blue,red,hard,2.1372697353363037
44,1302,red,red,hard,2.1215407848358154
45,1338,red,red,hard,2.1280837059020996
46,1383,blue,red,easy,2.217865228652954
47,1428,red,red,easy,2.1408262252807617
48,1446,red,red,impossible,2.135272741317749
49,1452,red,red,easy,2.155452013015747
50,1462,blue,red,easy,2.124213933944702
51,1489,red,red,impossible,2.200129508972168
52,1505,red,red,impossible,2.1191277503967285
53,1540,red,red,hard,2.150381326675415
54,1550,red,red,hard,2.1349332332611084
55,1551,blue,red,easy,2.1181631088256836
56,1595,red,red,easy,2.092876434326172
57,1619,blue,red,hard,2.124569892883301
58,1625,red,red,hard,2.108947277069092
59,1627,red,red,impossible,2.1434824466705322
60,1644,red,red,hard,2.1478400230407715
61,1656,blue,red,easy,2.1815850734710693
62,1661,red,red,hard,2.1695852279663086
63,1759,blue,red,easy,2.120351791381836
64,1781,red,red,hard,2.126040458679199
65,1806,red,red,impossible,2.0728538036346436
66,1844,red,red,veryhard,2.0664315223693848
67,1867,red,red,easy,2.138185501098633
68,1941,red,red,hard,2.0781404972076416
69,1943,blue,red,easy,2.0572564601898193
70,1949,red,red,hard,2.1059436798095703
71,2021,red,red,veryhard,2.07157039642334
72,2060,red,red,hard,2.083458423614502
73,2073,blue,red,easy,2.0754544734954834
74,2086,red,red,hard,2.1730661392211914
75,2095,red,red,hard,2.0695455074310303
76,2123,blue,red,easy,2.087510585784912
77,2124,red,red,veryhard,2.2227625846862793
78,2143,red,red,easy,2.0635342597961426
79,2158,red,red,veryhard,2.057729721069336
80,2180,red,red,impossible,2.1164817810058594
81,2211,red,red,hard,2.178434371948242
82,2294,red,red,easy,2.0563223361968994
83,2328,red,red,veryhard,2.0749154090881348
84,2403,red,red,hard,2.06723952293396
85,2459,red,red,easy,2.061063051223755
86,2491,red,red,easy,2.074218988418579
87,2510,blue,red,hard,2.08349347114563
88,2519,red,red,hard,2.070657253265381
89,2544,red,red,hard,2.092076301574707
90,2555,red,red,veryhard,2.0768184661865234
91,2605,red,red,hard,2.0607712268829346
92,2607,red,red,hard,2.086371660232544
93,2620,red,red,veryhard,2.0498881340026855
94,2646,red,red,veryhard,2.0674686431884766
95,2696,red,red,impossible,2.04679799079895
96,2711,red,red,easy,2.0724546909332275
97,2712,red,red,easy,2.0695443153381348
