,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,blue,easy,6.330120086669922
1,0101,red,red,easy,4.008447885513306
2,0126,red,red,easy,3.9699506759643555
3,0143,red,red,hard,4.0012383460998535
4,0144,red,red,hard,4.01400351524353
5,0181,red,red,hard,4.0852439403533936
6,0194,blue,blue,easy,5.224728107452393
7,0214,red,red,veryhard,4.032037019729614
8,0244,blue,blue,easy,5.315778017044067
9,0294,red,red,veryhard,4.04574179649353
10,0307,red(maybe),blue,easy,5.250927448272705
11,0329,red,red,impossible,4.099699258804321
12,0405,red,red,veryhard,4.047298192977905
13,0455,red,red,veryhard,4.055556774139404
14,0473,red,red,hard,4.063465118408203
15,0482,red,red,impossible,4.062124729156494
16,0546,blue,blue,easy,5.256664991378784
17,0569,red,red,veryhard,4.072454214096069
18,0580,blue,red,easy,4.064794301986694
19,0583,red,red,hard,4.098334312438965
20,0593,red,red,hard,4.052978515625
21,0688,red,red,impossible,4.065939426422119
22,0709,red,red,veryhard,4.113921403884888
23,0722,blue,red,impossible,4.064495325088501
24,0731,red,red,easy,4.049865007400513
25,0774,red,red,easy,4.024860620498657
26,0782,red,red,hard,4.029170989990234
27,0784,blue,blue,impossible,5.312513113021851
28,0822,red,blue,easy,4.088800668716431
29,0925,red,red,hard,4.096652984619141
30,1094,red,red,hard,4.055837392807007
31,1117,red,red,hard,4.0778584480285645
32,1117,red,red,hard,4.09830641746521
33,1145,red,red,hard,4.084350109100342
34,1152,blue,blue,easy,5.3828654289245605
35,1154,red,red,easy,4.058804035186768
36,1178,red,red,easy,4.091032981872559
37,1184,red,red,veryhard,4.1439666748046875
38,1184,red,red,veryhard,4.080727577209473
39,1189,red,red,impossible,4.100890874862671
40,1211,red,red,easy,4.086524248123169
41,1212,red,red,easy,4.09177565574646
42,1248,red,red,impossible,4.083675146102905
43,1255,blue,red,hard,4.094741106033325
44,1302,red,red,hard,4.07632851600647
45,1338,red,red,hard,4.078688621520996
46,1383,blue,blue,easy,5.341427326202393
47,1428,red,red,easy,4.092868089675903
48,1446,red,red,impossible,4.079197406768799
49,1452,red,red,easy,4.159011125564575
50,1462,blue,blue,easy,5.376668691635132
51,1489,red,red,impossible,4.075250864028931
52,1505,red,red,impossible,4.105503797531128
53,1540,red,red,hard,4.103497266769409
54,1550,red,red,hard,4.07762336730957
55,1551,blue,blue,easy,5.390183687210083
56,1595,red,red,easy,4.07850456237793
57,1619,blue,red,hard,4.072523593902588
58,1625,red,red,hard,4.088839054107666
59,1627,red,red,impossible,4.065731763839722
60,1644,red,red,hard,4.114881753921509
61,1656,blue,blue,easy,5.333846569061279
62,1661,red,red,hard,4.063974618911743
63,1759,blue,blue,easy,5.396071672439575
64,1781,red,red,hard,4.061380624771118
65,1806,red,red,impossible,4.071498155593872
66,1844,red,red,veryhard,4.066495180130005
67,1867,red,red,easy,4.056862831115723
68,1941,red,red,hard,4.1284637451171875
69,1943,blue,blue,easy,5.3827760219573975
70,1949,red,red,hard,4.068140268325806
71,2021,red,red,veryhard,4.0972840785980225
72,2060,red,red,hard,4.1128857135772705
73,2073,blue,blue,easy,5.411704063415527
74,2086,red,red,hard,4.0930399894714355
75,2095,red,red,hard,4.043240070343018
76,2123,blue,blue,easy,5.3353800773620605
77,2124,red,red,veryhard,4.098642110824585
78,2143,red,red,easy,4.072082996368408
79,2158,red,red,veryhard,4.069004058837891
80,2180,red,red,impossible,4.073610067367554
81,2211,red,red,hard,4.063900709152222
82,2294,red,red,easy,4.060676336288452
83,2328,red,red,veryhard,4.167662858963013
84,2403,red,red,hard,4.0844879150390625
85,2459,red,red,easy,4.107550621032715
86,2491,red,blue,easy,4.075639724731445
87,2510,blue,blue,hard,5.326114654541016
88,2519,red,red,hard,4.139040470123291
89,2544,red,red,hard,4.081937074661255
90,2555,red,red,veryhard,4.159602642059326
91,2605,red,red,hard,4.070785760879517
92,2607,red,red,hard,4.084340810775757
93,2620,red,red,veryhard,4.0733067989349365
94,2646,red,red,veryhard,4.071724891662598
95,2696,red,red,impossible,4.089383363723755
96,2711,red,red,easy,4.07361102104187
97,2712,red,red,easy,4.02752947807312
