,imgs,ground_truths,predictions,difficulties,gen_times
0,0081,blue,red,easy,3.278855562210083
1,0101,red,red,easy,2.0275394916534424
2,0126,red,red,easy,2.003922700881958
3,0143,red,red,hard,2.0134849548339844
4,0144,red,red,hard,2.0226328372955322
5,0181,red,red,hard,2.043764114379883
6,0194,blue,red,easy,2.027090549468994
7,0214,red,red,veryhard,2.033116579055786
8,0244,blue,red,easy,2.045159339904785
9,0294,red,red,veryhard,2.1297595500946045
10,0307,red(maybe),red,easy,2.065113067626953
11,0329,red,red,impossible,2.0397469997406006
12,0405,red,red,veryhard,2.0229318141937256
13,0455,red,red,veryhard,2.0385799407958984
14,0473,red,red,hard,2.066133737564087
15,0482,red,red,impossible,2.0557427406311035
16,0546,blue,red,easy,2.0609798431396484
17,0569,red,red,veryhard,2.0499839782714844
18,0580,blue,red,easy,2.0386500358581543
19,0583,red,red,hard,2.0420665740966797
20,0593,red,red,hard,2.0471956729888916
21,0688,red,red,impossible,2.0457284450531006
22,0709,red,red,veryhard,2.0510337352752686
23,0722,blue,red,impossible,2.035304307937622
24,0731,red,red,easy,2.050196647644043
25,0774,red,red,easy,2.026224136352539
26,0782,red,red,hard,2.0102620124816895
27,0784,blue,red,impossible,2.012474298477173
28,0822,red,red,easy,2.0415377616882324
29,0925,red,red,hard,2.0483245849609375
30,1094,red,red,hard,2.0450549125671387
31,1117,red,red,hard,2.115757465362549
32,1117,red,red,hard,2.0550756454467773
33,1145,red,red,hard,2.0488243103027344
34,1152,blue,red,easy,2.072735548019409
35,1154,red,red,easy,2.08078670501709
36,1178,red,red,easy,2.063009262084961
37,1184,red,red,veryhard,2.0736634731292725
38,1184,red,red,veryhard,2.1382949352264404
39,1189,red,red,impossible,2.051971435546875
40,1211,red,red,easy,2.0725412368774414
41,1212,red,red,easy,2.0794436931610107
42,1248,red,red,impossible,2.071157693862915
43,1255,blue,red,hard,2.0630857944488525
44,1302,red,red,hard,2.064821720123291
45,1338,red,red,hard,2.0645110607147217
46,1383,blue,red,easy,2.0899500846862793
47,1428,red,red,easy,2.078359603881836
48,1446,red,red,impossible,2.0723307132720947
49,1452,red,red,easy,2.080291748046875
50,1462,blue,red,easy,2.068626642227173
51,1489,red,red,impossible,2.0704562664031982
52,1505,red,red,impossible,2.0908384323120117
53,1540,red,red,hard,2.075650930404663
54,1550,red,red,hard,2.055250644683838
55,1551,blue,red,easy,2.0531396865844727
56,1595,red,red,easy,2.045470714569092
57,1619,blue,red,hard,2.0597426891326904
58,1625,red,red,hard,2.061042547225952
59,1627,red,red,impossible,2.040522575378418
60,1644,red,red,hard,2.13761830329895
61,1656,blue,red,easy,2.0926828384399414
62,1661,red,red,hard,2.069532871246338
63,1759,blue,red,easy,2.0607428550720215
64,1781,red,red,hard,2.0818347930908203
65,1806,red,red,impossible,2.0907535552978516
66,1844,red,red,veryhard,2.1895973682403564
67,1867,red,red,easy,2.159515380859375
68,1941,red,red,hard,2.0666658878326416
69,1943,blue,red,easy,2.066787004470825
70,1949,red,red,hard,2.0628573894500732
71,2021,red,red,veryhard,2.080364227294922
72,2060,red,red,hard,2.065643072128296
73,2073,blue,red,easy,2.0558226108551025
74,2086,red,red,hard,2.0678484439849854
75,2095,red,red,hard,2.082737684249878
76,2123,blue,red,easy,2.1508748531341553
77,2124,red,red,veryhard,2.0838229656219482
78,2143,red,red,easy,2.085219383239746
79,2158,red,red,veryhard,2.0490689277648926
80,2180,red,red,impossible,2.0783774852752686
81,2211,red,red,hard,2.072765588760376
82,2294,red,red,easy,2.071275234222412
83,2328,red,red,veryhard,2.0617024898529053
84,2403,red,red,hard,2.0640883445739746
85,2459,red,red,easy,2.043600559234619
86,2491,red,red,easy,2.058317184448242
87,2510,blue,red,hard,2.0871214866638184
88,2519,red,red,hard,2.070659637451172
89,2544,red,red,hard,2.156041383743286
90,2555,red,red,veryhard,2.084376811981201
91,2605,red,red,hard,2.064871311187744
92,2607,red,red,hard,2.0703930854797363
93,2620,red,red,veryhard,2.051994800567627
94,2646,red,red,veryhard,2.077397108078003
95,2696,red,red,impossible,2.0942771434783936
96,2711,red,red,easy,2.1575825214385986
97,2712,red,red,easy,2.0793540477752686
